Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates,Column1
3,-36.0531,Tx-Rx,2,"4.02859 -0.152701 -0.65, -4.64802 -1.79499 -0.8",
3,-38.5389,Tx-R-Rx,3,"4.02859 -0.152701 -0.65, -4.54004 -1.85332 -0.797922, -4.64802 -1.79499 -0.8",
3,-41.0846,Tx-D-Rx,3,"4.02859 -0.152701 -0.65, -2.50634 -1.3939 -0.928345, -4.64802 -1.79499 -0.8",
3,-43.4934,Tx-D-R-Rx,4,"4.02859 -0.152701 -0.65, -2.33164 -1.41779 -0.928345, -4.53962 -1.85338 -0.806658, -4.64802 -1.79499 -0.8",
3,-45.9645,Tx-R-Rx,3,"4.02859 -0.152701 -0.65, 4.29992 -0.326592 -0.786733, -4.64802 -1.79499 -0.8",
3,-46.234,Tx-R-Rx,3,"4.02859 -0.152701 -0.65, 4.27138 -0.401997 -0.829189, -4.64802 -1.79499 -0.8",
3,-48.4446,Tx-D-Rx,3,"4.02859 -0.152701 -0.65, 0.466059 -1.08068 -0.781424, -4.64802 -1.79499 -0.8",
3,-48.8583,Tx-R-R-Rx,4,"4.02859 -0.152701 -0.65, 6.56849 1.51651 -0.679151, 6.97038 1.00807 -0.685367, -4.64802 -1.79499 -0.8",
3,-49.0534,Tx-D-Rx,3,"4.02859 -0.152701 -0.65, 0.114962 -0.602579 -0.727814, -4.64802 -1.79499 -0.8",
3,-49.1514,Tx-R-R-R-Rx,5,"4.02859 -0.152701 -0.65, 6.54678 1.52002 -0.678938, 6.96333 0.987663 -0.685408, -4.55458 -1.85112 -0.798957, -4.64802 -1.79499 -0.8",
3,-49.1954,Tx-D-R-Rx,4,"4.02859 -0.152701 -0.65, 0.465877 -1.08316 -0.772784, -4.52288 -1.8559 -0.79927, -4.64802 -1.79499 -0.8",
3,-49.2132,Tx-D-Rx,3,"4.02859 -0.152701 -0.65, 4.28678 -0.371006 -0.807951, -4.64802 -1.79499 -0.8",
3,-49.5837,Tx-R-R-Rx,4,"4.02859 -0.152701 -0.65, 4.27033 -0.405502 -0.829187, -4.52719 -1.85525 -0.800436, -4.64802 -1.79499 -0.8",
3,-49.9091,Tx-R-R-R-Rx,5,"4.02859 -0.152701 -0.65, 1.69374 -2.77584 0.253662, 0.115815 0.745652 1.24664, -0.721978 2.61538 0.719422, -4.64802 -1.79499 -0.8",
3,-50.2822,Tx-D-R-Rx,4,"4.02859 -0.152701 -0.65, 4.26921 -0.403092 -0.835596, 0.974088 -0.91743 -0.886002, -4.64802 -1.79499 -0.8",
3,-50.4084,Tx-D-R-Rx,4,"4.02859 -0.152701 -0.65, 0.115456 -0.602559 -0.729586, -4.55976 -1.85034 -0.798517, -4.64802 -1.79499 -0.8",
3,-50.5322,Tx-R-Rx,3,"4.02859 -0.152701 -0.65, -0.144691 -0.942609 1.24664, -4.64802 -1.79499 -0.8",
3,-51.1033,Tx-R-D-Rx,4,"4.02859 -0.152701 -0.65, 4.29484 -0.328028 -0.808392, -2.31566 -1.41998 -0.928345, -4.64802 -1.79499 -0.8",
3,-51.1788,Tx-R-R-R-R-Rx,6,"4.02859 -0.152701 -0.65, 1.67843 -2.77348 0.253624, 0.0835651 0.750888 1.24664, -0.76303 2.62171 0.719523, -4.67423 -1.73943 -0.784232, -4.64802 -1.79499 -0.8",
3,-51.5624,Tx-D-R-Rx,4,"4.02859 -0.152701 -0.65, 4.25142 -0.422847 -0.879519, 3.62753 -0.519039 -0.886002, -4.64802 -1.79499 -0.8",
3,-51.6245,Tx-R-R-R-Rx,5,"4.02859 -0.152701 -0.65, 4.16022 -0.907074 -0.874978, 2.27744 -2.8827 -0.861233, -0.434726 2.57107 -0.830558, -4.64802 -1.79499 -0.8",
3,-52.52,Tx-R-Rx,3,"4.02859 -0.152701 -0.65, 1.96049 2.20158 -0.693296, -4.64802 -1.79499 -0.8",
3,-52.5913,Tx-R-R-R-R-Rx,6,"4.02859 -0.152701 -0.65, 1.70591 -2.77772 0.24786, 0.122047 0.785157 1.24664, -0.689331 2.61034 0.734987, -4.62759 -1.84011 -0.787312, -4.64802 -1.79499 -0.8",
3,-52.6342,Tx-R-R-R-Rx,5,"4.02859 -0.152701 -0.65, 4.26816 -0.405859 -0.836377, 1.00125 -0.944217 -0.886002, -4.52719 -1.85525 -0.802025, -4.64802 -1.79499 -0.8",
3,-53.4231,Tx-D-Rx,3,"4.02859 -0.152701 -0.65, 1.47679 -1.15913 -0.830333, -4.64802 -1.79499 -0.8",